name,address_line,suburb,city,state,country,latitude,longitude,subscription_status,owner_user_id,approval_status,id,created_date,updated_date,created_by_id,created_by,is_sample
Proud Mary,172 Oxford St,Collingwood,Melbourne,VIC,Australia,-37.802362,144.985354,active,venue2,approved,cafe-001,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
Patricia Coffee Brewers,Rear 493–495 Little Bourke St,Melbourne,Melbourne,VIC,Australia,,,active,venue4,approved,cafe-002,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
Seven Seeds,106–114 Berkeley St,Carlton,Melbourne,VIC,Australia,,,active,venue3,approved,cafe-003,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
Higher Ground,650 Little Bourke St,Melbourne,Melbourne,VIC,Australia,-37.815857,144.953045,active,venue5,approved,cafe-004,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
ST. ALi,12–18 Yarra Pl,South Melbourne,Melbourne,VIC,Australia,,,active,venue1,approved,cafe-005,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
Coffee Anthology,155 Charlotte St,Brisbane City,Brisbane,QLD,Australia,,,active,68cfa27251ac708b78da759f,approved,cafe-006,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
The Gunshop Cafe,53 Mollison St,West End,Brisbane,QLD,Australia,,,active,venue2,approved,cafe-007,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
Morning After,57 Vulture St,West End,Brisbane,QLD,Australia,,,active,venue4,approved,cafe-008,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
Nodo Newstead,1 Ella St,Newstead,Brisbane,QLD,Australia,,,active,venue3,approved,cafe-009,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
Felix For Goodness,50 Burnett Ln,Brisbane City,Brisbane,QLD,Australia,,,active,venue5,approved,cafe-010,2025-09-25,2025-09-25,68cfa27251ac708b78da759f,robhum3z@icloud.com,False
